Region	 Treatment	SampleNum	OriginalID	InternalID	PercentReads	NumReads	Gbases
hyp	OVA	1	3.1	CSEA001	0.7106	52234993	5.223499
hyp	OVA	2	4.1	CSEA002	0.5883	43244928	4.324493
hyp	OVA	3	9.1	CSEA003	0.5619	41304309	4.130431
hyp	OVA	4	11.1	CSEA004	0.5566	40914716	4.091472
hyp	OVA	5	12.1	CSEA005	0.614	45134092	4.513409
hyp	OVA	6	34.1	CSEA006	0.662	48662490	4.866249
hyp	OVA	7	35.1	CSEA007	0.5053	37143740	3.714374
hyp	LPS	9	24.1	CSEA009	0.6135	45097337	4.509734
hyp	LPS	10	25.1	CSEA010	0.6531	48008266	4.800827
hyp	LPS	11	26.1	CSEA011	0.5547	40775050	4.077505
hyp	LPS	12	28.1	CSEA012	0.5116	37606842	3.760684
hyp	LPS	13	29.1	CSEA013	0.5781	42495144	4.249514
hyp	LPS	14	30.1	CSEA014	0.5787	42539249	4.253925
hyp	LPS	15	31.1	CSEA015	0.5738	42179058	4.217906
hyp	Control	17	5.1	CSEA017	0.5628	41370467	4.137047
hyp	Control	18	6.1	CSEA018	0.6405	47082061	4.708206
hyp	Control	19	7.1	CSEA019	0.5891	43303735	4.330374
hyp	Control	20	13.1	CSEA020	0.6535	48037669	4.803767
hyp	Control	21	14.1	CSEA021	0.6006	44149080	4.414908
hyp	Control	22	19.1	CSEA022	0.5334	39209323	3.920932
hyp	Control	23	20.1	CSEA023	0.5896	43340489	4.334049
amy	OVA	25	3.2	CSEA025	0.5306	39003500	3.90035
amy	OVA	26	4.2	CSEA026	0.5446	40032616	4.003262
amy	OVA	27	9.2	CSEA027	0.4965	36496867	3.649687
amy	OVA	28	11.2	CSEA028	0.6315	46420487	4.642049
amy	OVA	29	12.2	CSEA029	0.614	45134092	4.513409
amy	OVA	30	34.2	CSEA030	0.5227	38422784	3.842278
amy	OVA	31	35.2	CSEA031	0.584	42928843	4.292884
amy	LPS	33	24.2	CSEA033	0.6361	46758625	4.675862
amy	LPS	34	25.2	CSEA034	0.5554	40826506	4.082651
amy	LPS	35	26.2	CSEA035	0.5051	37129038	3.712904
amy	LPS	36	28.2	CSEA036	0.61	44840058	4.484006
amy	LPS	37	29.2	CSEA037	0.555	40797102	4.07971
amy	LPS	38	30.2	CSEA038	0.5688	41811517	4.181152
amy	LPS	39	31.2	CSEA039	0.5634	41414572	4.141457
amy	Control	41	5.2	CSEA041	0.5405	39731232	3.973123
amy	Control	42	6.2	CSEA042	0.5692	41840920	4.184092
amy	Control	43	13.2	CSEA043	0.6126	45031180	4.503118
amy	Control	44	14.2	CSEA044	0.6354	46707169	4.670717
amy	Control	45	16.2	CSEA045	0.507	37268704	3.72687
amy	Control	46	19.2	CSEA046	0.5431	39922354	3.992235
amy	Control	47	20.2	CSEA047	0.5473	40231088	4.023109
hip	OVA	49	3.3	CSEA049	0.6483	47655426	4.765543
hip	OVA	50	4.3	CSEA050	0.5873	43171420	4.317142
hip	OVA	51	9.3	CSEA051	0.4721	34703265	3.470326
hip	OVA	52	11.3	CSEA052	0.5436	39959108	3.995911
hip	OVA	53	12.3	CSEA053	0.4697	34526845	3.452684
hip	OVA	54	34.3	CSEA054	0.655	48147932	4.814793
hip	OVA	55	35.3	CSEA055	0.5617	41289608	4.128961
hip	LPS	57	24.3	CSEA057	0.585	43002351	4.300235
hip	LPS	58	25.3	CSEA058	0.5951	43744785	4.374478
hip	LPS	59	26.3	CSEA059	0.532	39106412	3.910641
hip	LPS	60	28.3	CSEA060	0.5066	37239301	3.72393
hip	LPS	61	29.3	CSEA061	0.6357	46729221	4.672922
hip	LPS	62	30.3	CSEA062	0.6359	46743923	4.674392
hip	LPS	63	31.3	CSEA063	0.6144	45163495	4.516349
hip	Control	65	5.3	CSEA065	0.6693	49199100	4.91991
hip	Control	66	6.3	CSEA066	0.6563	48243492	4.824349
hip	Control	67	7.3	CSEA067	0.6897	50698669	5.069867
hip	Control	68	13.3	CSEA068	0.6158	45266406	4.526641
hip	Control	69	15.3	CSEA069	0.6063	44568078	4.456808
hip	Control	70	19.3	CSEA070	0.4972	36548323	3.654832
hip	Control	71	20.3	CSEA071	0.542	39841494	3.984149
pag	OVA	73	3.4	CSEA073	0.532	39106412	3.910641
pag	OVA	74	4.4	CSEA074	0.5389	39613619	3.961362
pag	OVA	75	9.4	CSEA075	0.6358	46736572	4.673657
pag	OVA	76	11.4	CSEA076	0.5279	38805028	3.880503
pag	OVA	77	12.4	CSEA077	0.6622	48677191	4.867719
pag	OVA	78	34.4	CSEA078	0.6248	45927981	4.592798
pag	OVA	79	35.4	CSEA079	0.6147	45185547	4.518555
pag	LPS	81	24.4	CSEA081	0.586	43075859	4.307586
pag	LPS	82	25.4	CSEA082	0.5224	38400732	3.840073
pag	LPS	83	26.4	CSEA083	0.5903	43391945	4.339195
pag	LPS	84	28.4	CSEA084	0.624	45869174	4.586917
pag	LPS	85	29.4	CSEA085	0.5473	40231088	4.023109
pag	LPS	86	30.4	CSEA086	0.6063	44568078	4.456808
pag	LPS	87	31.4	CSEA087	0.5989	44024116	4.402412
pag	Control	89	5.4	CSEA089	0.5372	39488655	3.948865
pag	Control	90	6.4	CSEA090	0.5525	40613332	4.061333
pag	Control	91	7.4	CSEA091	0.5014	36857058	3.685706
pag	Control	92	13.4	CSEA092	0.5902	43384594	4.338459
pag	Control	93	14.4	CSEA093	0.6229	45788315	4.578832
pag	Control	94	19.4	CSEA094	0.6218	45707456	4.570746
