EA9-5	259348	25.93%
EA3-1	180218	18.02%
EA23-5	155685	15.57%
EA29-5	101406	10.14%
EA9-2	95068	9.51%
EA30-3	93444	9.34%
EA20-4	80120	8.01%
EA28-3	76977	7.70%
EA12-3	71471	7.15%
EA26-3	57710	5.77%
EA29-3	56601	5.66%
EA6-4	55116	5.51%
EA31-3	50216	5.02%
EA5-4	49953	5.00%
EA24-4	47096	4.71%
EA6-3	46594	4.66%
EA22-5	45813	4.58%
EA15-3	42952	4.30%
EA5-5	41145	4.11%
EA6-1	40116	4.01%
EA12-5	38819	3.88%
EA24-5	38175	3.82%
EA4-1	36120	3.61%
EA6-5	36046	3.60%
EA12-1	35897	3.59%
EA11-3	35045	3.50%
EA12-4	34537	3.45%
EA35-3	32136	3.21%
EA3-3	31839	3.18%
EA29-4	30716	3.07%
EA11-5	29561	2.96%
EA26-4	28372	2.84%
EA34-3	27637	2.76%
EA19-4	26818	2.68%
EA25-3	26624	2.66%
EA6-2	25009	2.50%
EA29-1	24907	2.49%
EA30-5	24149	2.41%
EA11-4	24002	2.40%
EA5-2	23796	2.38%
EA30-1	23669	2.37%
EA29-2	23536	2.35%
EA9-4	23492	2.35%
EA9-1	22131	2.21%
EA24-1	21919	2.19%
EA24-2	21664	2.17%
EA34-4	21604	2.16%
EA7-4	20704	2.07%
EA5-3	20603	2.06%
EA24-3	20525	2.05%
EA5-1	20193	2.02%
EA30-4	19636	1.96%
EA4-5	19453	1.95%
EA3-5	18638	1.86%
EA11-2	18608	1.86%
EA12-2	18010	1.80%
EA13-2	17562	1.76%
EA13-1	16725	1.67%
EA28-1	16651	1.67%
EA3-2	16186	1.62%
EA11-1	16076	1.61%
EA14-4	16072	1.61%
EA20-1	15947	1.59%
EA14-5	15789	1.58%
EA13-4	15015	1.50%
EA19-3	14961	1.50%
EA35-5	14410	1.44%
EA7-5	14260	1.43%
EA4-4	13594	1.36%
EA30-2	13473	1.35%
EA26-2	13436	1.34%
EA31-2	13391	1.34%
EA19-5	13315	1.33%
EA20-3	13115	1.31%
EA16-2	12686	1.27%
EA19-1	12626	1.26%
EA13-5	12620	1.26%
EA20-5	12588	1.26%
EA3-4	12575	1.26%
EA31-1	12551	1.26%
EA25-1	12516	1.25%
EA35-4	12297	1.23%
EA4-2	12278	1.23%
EA25-4	12120	1.21%
EA28-4	11590	1.16%
EA13-3	11571	1.16%
EA35-1	11294	1.13%
EA19-2	11239	1.12%
EA34-1	11196	1.12%
EA7-3	10431	1.04%
EA31-4	10265	1.03%
EA14-1	10213	1.02%
EA26-1	10196	1.02%
EA35-2	10030	1.00%
EA25-5	9977	1.00%
EA9-3	9664	0.97%
EA14-2	9263	0.93%
EA20-2	8704	0.87%
EA7-1	8586	0.86%
EA28-2	8382	0.84%
EA4-3	8338	0.83%
EA34-2	7563	0.76%
EA25-2	6816	0.68%
EA26-5	3367	0.34%
